Time	I_L	I_load	Ic	Id	I_mos	Vout	V_MOS	Vo_filt	V_drive	Vd	Vc
1e-007	0.0047996	-3.61999e-013	-1.18848e-011	0	0.0047996	0	0.00119991	0	1	0.00119991	-2.73388e-014
2e-007	0.00959867	3.14226e-012	1.04588e-010	1.11022e-010	0.00959867	-1.81e-012	0.00239968	-1.8084e-012	1	0.00239968	2.29755e-014
3e-007	0.0143973	6.65756e-012	2.2104e-010	2.22045e-010	0.0143973	1.57113e-011	0.00359935	1.56991e-011	1	0.00359935	1.31518e-013
4e-007	0.0191955	1.01875e-011	3.37464e-010	4.44089e-010	0.0191955	3.32878e-011	0.00479889	3.32463e-011	1	0.00479889	3.17686e-013
5e-007	0.0239931	1.37322e-011	4.5386e-010	4.44089e-010	0.0239931	5.09377e-011	0.0059983	5.08514e-011	1	0.0059983	5.81461e-013
6e-007	0.0287902	1.72915e-011	5.70228e-010	5.55112e-010	0.0287902	6.86611e-011	0.00719757	6.85145e-011	1	0.00719757	9.22823e-013
7e-007	0.0335867	2.08655e-011	6.86568e-010	7.77156e-010	0.0335867	8.64576e-011	0.00839671	8.6235e-011	1	0.00839671	1.34176e-012
8e-007	0.0383827	2.44542e-011	8.0288e-010	8.88178e-010	0.0383827	1.04328e-010	0.00959572	1.04013e-010	1	0.00959572	1.83824e-012
9e-007	0.0431782	2.80576e-011	9.19164e-010	8.88178e-010	0.0431782	1.22271e-010	0.0107946	1.21849e-010	1	0.0107946	2.41225e-012
1e-006	0.0479732	3.16756e-011	1.03542e-009	1.11022e-009	0.0479732	1.40288e-010	0.0119933	1.39743e-010	1	0.0119933	3.06378e-012
1.1e-006	0.0527676	3.53083e-011	1.15165e-009	1.22125e-009	0.0527676	1.58378e-010	0.0131919	1.57694e-010	1	0.0131919	3.79281e-012
1.2e-006	0.0575615	3.89556e-011	1.26785e-009	1.33227e-009	0.0575615	1.76541e-010	0.0143904	1.75702e-010	1	0.0143904	4.5993e-012
1.3e-006	0.0623548	4.26176e-011	1.38402e-009	1.44329e-009	0.0623548	1.94778e-010	0.0155888	1.93768e-010	1	0.0155888	5.48326e-012
1.4e-006	0.0671476	4.62942e-011	1.50017e-009	1.66533e-009	0.0671476	2.13088e-010	0.016787	2.11891e-010	1	0.016787	6.44466e-012
1.5e-006	0.0719399	4.99855e-011	1.61628e-009	1.66533e-009	0.0719399	2.31471e-010	0.0179851	2.30071e-010	1	0.0179851	7.48347e-012
1.6e-006	0.0767317	5.36914e-011	1.73237e-009	1.88738e-009	0.0767317	2.49928e-010	0.019183	2.48309e-010	1	0.019183	8.59969e-012
1.7e-006	0.0815229	5.7412e-011	1.84843e-009	1.88738e-009	0.0815229	2.68457e-010	0.0203808	2.66603e-010	1	0.0203808	9.79329e-012
1.8e-006	0.0863136	6.11472e-011	1.96446e-009	1.9984e-009	0.0863136	2.8706e-010	0.0215785	2.84954e-010	1	0.0215785	1.10643e-011
1.9e-006	0.0911038	6.4897e-011	2.08047e-009	2.10942e-009	0.0911038	3.05736e-010	0.022776	3.03362e-010	1	0.022776	1.24126e-011
2e-006	0.0958934	6.86614e-011	2.19645e-009	2.33147e-009	0.0958934	3.24485e-010	0.0239735	3.21827e-010	1	0.0239735	1.38382e-011
2.1e-006	0.100683	7.24406e-011	2.3124e-009	2.33147e-009	0.100683	3.43307e-010	0.0251707	3.40348e-010	1	0.0251707	1.53412e-011
2.2e-006	0.105471	7.62343e-011	2.42832e-009	2.44249e-009	0.105471	3.62203e-010	0.0263679	3.58926e-010	1	0.0263679	1.69214e-011
2.3e-006	0.110259	8.00426e-011	2.54421e-009	2.55351e-009	0.110259	3.81172e-010	0.0275649	3.77561e-010	1	0.0275649	1.85789e-011
2.4e-006	0.115047	8.38655e-011	2.66008e-009	2.77556e-009	0.115047	4.00213e-010	0.0287618	3.96252e-010	1	0.0287618	2.03137e-011
